Category	Calculator	Suggested Slug
Auto & Transportation	Auto affordability (DTI/price target)	auto-affordability-dti-price-target
Auto & Transportation	Auto lease payment (money factor ↔ APR)	auto-lease-payment-money-factor-apr
Auto & Transportation	Auto loan calculator	auto-loan-calculator
Auto & Transportation	Auto loan with trade-in / negative equity	auto-loan-with-trade-in-negative-equity
Auto & Transportation	Auto refinance savings	auto-refinance-savings
Auto & Transportation	Auto sales tax & fees estimator	auto-sales-tax-and-fees-estimator
Auto & Transportation	Biweekly auto payoff	biweekly-auto-payoff
Auto & Transportation	Car loan calculator	car-loan-calculator
Auto & Transportation	Car payment calculator	car-payment-calculator
Auto & Transportation	Dealer incentive: cash-back vs low-APR breakeven	dealer-incentive-cash-back-vs-low-apr-breakeven
Auto & Transportation	EV federal tax credit eligibility (IRC §30D)	ev-federal-tax-credit-eligibility-irc-30d
Auto & Transportation	EV vs gas total cost of ownership (incl. tax credit)	ev-vs-gas-total-cost-of-ownership-incl-tax-credit
Auto & Transportation	Fuel cost per month / per mile (MPG, miles/year)	fuel-cost-per-month-per-mile-mpg-miles-year
Auto & Transportation	Lease vs buy (auto)	lease-vs-buy-auto
Auto & Transportation	Out-the-door price (taxes/fees)	out-the-door-price-taxes-fees
Auto & Transportation	Trade-in vs private sale net proceeds	trade-in-vs-private-sale-net-proceeds
Auto & Transportation	Used vs new total cost of ownership	used-vs-new-total-cost-of-ownership
Auto & Transportation	Vehicle depreciation curve	vehicle-depreciation-curve
Banking, Savings & Cash Management	APY ↔ APR / EAR converter (effective rate)	apy-apr-ear-converter-effective-rate
Banking, Savings & Cash Management	CD early-withdrawal penalty	cd-early-withdrawal-penalty
Banking, Savings & Cash Management	CD ladder planner	cd-ladder-planner
Banking, Savings & Cash Management	CD maturity value / interest	cd-maturity-value-interest
Banking, Savings & Cash Management	Emergency fund size	emergency-fund-size
Banking, Savings & Cash Management	HYSA vs checking opportunity cost	hysa-vs-checking-opportunity-cost
Banking, Savings & Cash Management	Inflation-adjusted savings (real return)	inflation-adjusted-savings-real-return
Banking, Savings & Cash Management	Investment income tracker (interest/dividends)	investment-income-tracker-interest-dividends
Banking, Savings & Cash Management	Money market vs savings comparison	money-market-vs-savings-comparison
Banking, Savings & Cash Management	Savings goal (target amount & date)	savings-goal-target-amount-and-date
Banking, Savings & Cash Management	Simple vs compound interest	simple-vs-compound-interest
Banking, Savings & Cash Management	Sinking fund planner	sinking-fund-planner
Budgeting, Income & Everyday Math	Budget planner	budget-planner
Budgeting, Income & Everyday Math	Cash-flow calendar / bill-pay scheduler	cash-flow-calendar-bill-pay-scheduler
Budgeting, Income & Everyday Math	Commission calculator	commission-calculator
Budgeting, Income & Everyday Math	Date calculator (day-count, due dates)	date-calculator-day-count-due-dates
