Category,Subcategory,Calculator,Suggested Slug,US_Focus
Auto & Transportation,Auto Loans & Payments,Auto Loan Per Diem Calculator,auto-loan-per-diem,False
Auto & Transportation,Auto Loans & Payments,Auto affordability (DTI/price target),auto-affordability-dti-price-target,False
Auto & Transportation,Auto Loans & Payments,Auto loan calculator,auto-loan-calculator,False
Auto & Transportation,Auto Loans & Payments,Auto refinance savings,auto-refinance-savings,False
Auto & Transportation,Auto Loans & Payments,Auto sales tax & fees estimator,auto-sales-tax-and-fees-estimator,False
Auto & Transportation,Auto Loans & Payments,Biweekly auto payoff,biweekly-auto-payoff,False
Auto & Transportation,Auto Loans & Payments,Car Affordability Calculator,car-affordability,False
Auto & Transportation,Auto Loans & Payments,Car Depreciation Calculator,car-depreciation,False
Auto & Transportation,Auto Loans & Payments,Car Insurance Cost Per Month Calculator,car-insurance-cost-per-month,False
Auto & Transportation,Auto Loans & Payments,Car Wash Profit Calculator,car-wash-profit,False
Auto & Transportation,Auto Loans & Payments,Car Wash Tip Calculator,car-wash-tip,False
Auto & Transportation,Auto Loans & Payments,Car loan calculator,car-loan-calculator,False
Auto & Transportation,Auto Loans & Payments,Car payment calculator,car-payment-calculator,False
Auto & Transportation,Auto Loans & Payments,Dealer incentive: cash-back vs low-APR breakeven,dealer-incentive-cash-back-vs-low-apr-breakeven,False
Auto & Transportation,Auto Loans & Payments,Dump Trailer Capacity Calculator,dump-trailer-capacity,False
Auto & Transportation,Auto Loans & Payments,EV federal tax credit eligibility (IRC §30D),ev-federal-tax-credit-eligibility-irc-30d,False
Auto & Transportation,Auto Loans & Payments,Fair Car Allowance Calculator,fair-car-allowance,False
Auto & Transportation,Auto Loans & Payments,Out-the-door price (taxes/fees),out-the-door-price-taxes-fees,False
Auto & Transportation,Auto Loans & Payments,Rental Car Cost Per Day Calculator,rental-car-cost-per-day,False
Auto & Transportation,Auto Loans & Payments,Towing Cost Per Mile Calculator,towing-cost-per-mile,False
Auto & Transportation,Auto Loans & Payments,Trailer Loan Calculator,trailer-loan,False
Auto & Transportation,Auto Loans & Payments,Trailer Tire Pressure Calculator,trailer-tire-pressure,False
Auto & Transportation,Auto Loans & Payments,Trailer Value Calculator,trailer-value,False
Auto & Transportation,Auto Loans & Payments,Used vs new total cost of ownership,used-vs-new-total-cost-of-ownership,False
Auto & Transportation,Auto Loans & Payments,Vehicle depreciation curve,vehicle-depreciation-curve,False
Auto & Transportation,Buy/Sell & Trade‑in,Auto loan with trade-in / negative equity,auto-loan-with-trade-in-negative-equity,False
Auto & Transportation,Buy/Sell & Trade‑in,Trade-in vs private sale net proceeds,trade-in-vs-private-sale-net-proceeds,False
Auto & Transportation,Fuel & Operating Cost,EV vs gas total cost of ownership (incl. tax credit),ev-vs-gas-total-cost-of-ownership-incl-tax-credit,False
Auto & Transportation,Fuel & Operating Cost,"Fuel cost per month / per mile (MPG, miles/year)",fuel-cost-per-month-per-mile-mpg-miles-year,False
Auto & Transportation,Fuel & Operating Cost,Gas Cost Per Month Calculator,gas-cost-per-month,False
Auto & Transportation,Fuel & Operating Cost,Gas Lantern Cost Calculator,gas-lantern-cost,False
Auto & Transportation,Fuel & Operating Cost,Gas Station Profit Calculator,gas-station-profit,False
Auto & Transportation,Leasing,Auto lease payment (money factor ↔ APR),auto-lease-payment-money-factor-apr,False
Auto & Transportation,Leasing,Lease vs buy (auto),lease-vs-buy-auto,False
"Banking, Savings & Cash Management",,APY ↔ APR / EAR converter (effective rate),apy-apr-ear-converter-effective-rate,False
"Banking, Savings & Cash Management",,CD early-withdrawal penalty,cd-early-withdrawal-penalty,False
"Banking, Savings & Cash Management",,CD ladder planner,cd-ladder-planner,False
"Banking, Savings & Cash Management",,CD maturity value / interest,cd-maturity-value-interest,False
"Banking, Savings & Cash Management",,Emergency fund size,emergency-fund-size,False
"Banking, Savings & Cash Management",,HYSA vs checking opportunity cost,hysa-vs-checking-opportunity-cost,False
"Banking, Savings & Cash Management",,Inflation-adjusted savings (real return),inflation-adjusted-savings-real-return,False
"Banking, Savings & Cash Management",,Investment income tracker (interest/dividends),investment-income-tracker-interest-dividends,False
"Banking, Savings & Cash Management",,Money market vs savings comparison,money-market-vs-savings-comparison,False
"Banking, Savings & Cash Management",,Savings goal (target amount & date),savings-goal-target-amount-and-date,False
"Banking, Savings & Cash Management",,Simple vs compound interest,simple-vs-compound-interest,False
"Banking, Savings & Cash Management",,Sinking fund planner,sinking-fund-planner,False
"Budgeting, Income & Everyday Math",,Budget planner,budget-planner,False
"Budgeting, Income & Everyday Math",,Cash-flow calendar / bill-pay scheduler,cash-flow-calendar-bill-pay-scheduler,False
"Budgeting, Income & Everyday Math",,Commission calculator,commission-calculator,False
"Budgeting, Income & Everyday Math",,"Date calculator (day-count, due dates)",date-calculator-day-count-due-dates,False
"Budgeting, Income & Everyday Math",,Net worth tracker,net-worth-tracker,False
"Budgeting, Income & Everyday Math",,Overtime / shift differential pay,overtime-shift-differential-pay,False
"Budgeting, Income & Everyday Math",,Pay raise impact (gross & net),pay-raise-impact-gross-and-net,False
"Budgeting, Income & Everyday Math",,Percentage / proportion / discount calculator,percentage-proportion-discount-calculator,False
"Budgeting, Income & Everyday Math",,Salary ↔ hourly converter,salary-hourly-converter,False
"Budgeting, Income & Everyday Math",,Sales-tax calculator (quick),sales-tax-calculator-quick,False
"Budgeting, Income & Everyday Math",,Tip calculator,tip-calculator,False
"Budgeting, Income & Everyday Math",,Unit conversions (finance-relevant),unit-conversions-finance-relevant,False
Credit Cards & Scores,Balance & Payoff,0 Percent Balance Transfer Payoff Calculator,0-percent-balance-transfer-payoff,False
Credit Cards & Scores,Balance & Payoff,0% intro payoff planner,0-intro-payoff-planner,False
Credit Cards & Scores,Balance & Payoff,Average Daily Balance interest cost,average-daily-balance-interest-cost,False
Credit Cards & Scores,Balance & Payoff,Balance transfer savings + breakeven (with fee),balance-transfer-savings-breakeven-with-fee,False
Credit Cards & Scores,Balance & Payoff,Credit-card payoff time & total interest,credit-card-payoff-time-and-total-interest,False
Credit Cards & Scores,Balance & Payoff,Minimum payment cost (time to payoff),minimum-payment-cost-time-to-payoff,False
Credit Cards & Scores,Rates & Fees,Credit Card Calculator,credit-card,False
Credit Cards & Scores,Rates & Fees,Credit Card Limit Calculator,credit-card-limit,False
Credit Cards & Scores,Rates & Fees,Credit Card Miles Calculator,credit-card-miles,False
Credit Cards & Scores,Rates & Fees,Credit Card Minimum Calculator,credit-card-minimum,False
Credit Cards & Scores,Rates & Fees,Credit Card Processing Fees Calculator,credit-card-processing-fees,False
Credit Cards & Scores,Rates & Fees,Credit Card Reward Calculator,credit-card-reward,False
Credit Cards & Scores,Rates & Fees,Credit Card Size Calculator,credit-card-size,False
Credit Cards & Scores,Rates & Fees,Credit Card Usage Percentage Calculator,credit-card-usage-percentage,False
Credit Cards & Scores,Rates & Fees,Credit Utilization Ratio Calculator,credit-utilization-ratio,False
Credit Cards & Scores,Rates & Fees,Credit utilization impact (what-if),credit-utilization-impact-what-if,False
Credit Cards & Scores,Rates & Fees,Foreign transaction fee cost,foreign-transaction-fee-cost,False
Credit Cards & Scores,Rates & Fees,Purchase vs cash-advance cost,purchase-vs-cash-advance-cost,False
Credit Cards & Scores,Rates & Fees,Welcome bonus breakeven / opportunity cost,welcome-bonus-breakeven-opportunity-cost,False
Credit Cards & Scores,Rewards & Bonuses,Rewards valuation (cashback vs points vs miles),rewards-valuation-cashback-vs-points-vs-miles,False
Economics & Macroeconomics,Macro,Aggregate Expenditure Calculator,aggregate-expenditure,False
Economics & Macroeconomics,Macro,Economics Multiplier Calculator,economics-multiplier,False
Economics & Macroeconomics,Macro,Employment Multiplier Calculator,employment-multiplier,False
Economics & Macroeconomics,Macro,GDP Calculator,gdp,False
Economics & Macroeconomics,Macro,GDP Growth Rate Calculator,gdp-growth-rate,False
Economics & Macroeconomics,Macro,GDP Per Capita Calculator,gdp-per-capita,False
Economics & Macroeconomics,Macro,HDI Calculator,hdi,False
Economics & Macroeconomics,Macro,Margin Multiplier Calculator,margin-multiplier,False
Economics & Macroeconomics,Macro,Money Multiplier Calculator,money-multiplier,False
Economics & Macroeconomics,Macro,Money Supply Calculator,money-supply,False
Economics & Macroeconomics,Macro,Multiplier Effect Calculator,multiplier-effect,False
Economics & Macroeconomics,Macro,National Income Calculator,national-income,False
Economics & Macroeconomics,Macro,Natural Rate of Unemployment Calculator,natural-rate-of-unemployment,False
Economics & Macroeconomics,Macro,Output Gap Calculator,output-gap,False
Economics & Macroeconomics,Macro,Pension Multiplier Calculator,pension-multiplier,False
Economics & Macroeconomics,Macro,Price Multiplier Calculator,price-multiplier,False
Economics & Macroeconomics,Macro,Profit Multiplier Calculator,profit-multiplier,False
Economics & Macroeconomics,Macro,Real GDP Calculator,real-gdp,False
Economics & Macroeconomics,Macro,Sales Multiplier Calculator,sales-multiplier,False
Economics & Macroeconomics,Macro,Spending Multiplier Calculator,spending-multiplier,False
Economics & Macroeconomics,Macro,Velocity of Money Calculator,velocity-of-money,False
Family & Life Events,,Childcare cost vs second income,childcare-cost-vs-second-income,False
Family & Life Events,,Cost of raising a child,cost-of-raising-a-child,False
Family & Life Events,,Cost-of-living comparison (city vs city),cost-of-living-comparison-city-vs-city,False
Family & Life Events,,Home renovation ROI / payback,home-renovation-roi-payback,False
Family & Life Events,,Moving cost vs salary change (COL adjust),moving-cost-vs-salary-change-col-adjust,False
Family & Life Events,,Wedding budget & savings pace,wedding-budget-and-savings-pace,False
Futures & Commodities,,Carry / cost-of-carry (fair value),carry-cost-of-carry-fair-value,False
Futures & Commodities,,Future Loss of Earnings Calculator,future-loss-of-earnings,False
Futures & Commodities,,Future Value Calculator,future-value,False
Futures & Commodities,,Futures P&L & breakeven,futures-p-and-l-and-breakeven,False
Futures & Commodities,,Futures margin & leverage impact,futures-margin-and-leverage-impact,False
Futures & Commodities,,Net Future Value Calculator,net-future-value,False
Futures & Commodities,,Private Equity Carry Calculator,private-equity-carry,False
Futures & Commodities,,Soybean Crush Margin Calculator,soybean-crush-margin,False
Gambling & Betting / Games,Betting,Bet Rollover Calculator,bet-rollover,False
Gambling & Betting / Games,Betting,Double Chance Bet Calculator,double-chance-bet,False
Gambling & Betting / Games,Betting,Options Expected Move Calculator,options-expected-move,False
Gambling & Betting / Games,Betting,Parlay Value Calculator,parlay-value,False
Gambling & Betting / Games,Betting,Poker Markup Calculator,poker-markup,False
Gambling & Betting / Games,Betting,Risk Free Bet Calculator,risk-free-bet,False
General Budgeting & Everyday Math,Misc / Everyday,1 Percent Daily Return Calculator,1-percent-daily-return,False
General Budgeting & Everyday Math,Misc / Everyday,1 Percent Income Calculator,1-percent-income,False
General Budgeting & Everyday Math,Misc / Everyday,1 Percent Rule Calculator,1-percent-rule,False
General Budgeting & Everyday Math,Misc / Everyday,1.5 X Pay Calculator,1-5-x-pay,False
General Budgeting & Everyday Math,Misc / Everyday,10 Percent Annual Return Calculator,10-percent-annual-return,False
General Budgeting & Everyday Math,Misc / Everyday,10 Percent Daily Return Calculator,10-percent-daily-return,False
General Budgeting & Everyday Math,Misc / Everyday,10 Percent Of Income Calculator,10-percent-of-income,False
General Budgeting & Everyday Math,Misc / Everyday,10X Return Calculator,10x-return,False
General Budgeting & Everyday Math,Misc / Everyday,1:10 Stock Split Calculator,1-10-stock-split,False
General Budgeting & Everyday Math,Misc / Everyday,2/10 Net 30 Calculator,2-10-net-30,False
General Budgeting & Everyday Math,Misc / Everyday,20 30 50 Rule Calculator,20-30-50-rule,False
General Budgeting & Everyday Math,Misc / Everyday,20 Percent Margin Calculator,20-percent-margin,False
General Budgeting & Everyday Math,Misc / Everyday,20-1 Stock Split Calculator,20-1-stock-split,False
General Budgeting & Everyday Math,Misc / Everyday,20/4/10 Rule Calculator,20-4-10-rule,False
General Budgeting & Everyday Math,Misc / Everyday,28 Percent Rule Calculator,28-percent-rule,False
General Budgeting & Everyday Math,Misc / Everyday,3/2 Stock Split Calculator,3-2-stock-split,False
General Budgeting & Everyday Math,Misc / Everyday,30 Business Day Calculator,30-business-day,False
General Budgeting & Everyday Math,Misc / Everyday,30-Day SEC Yield Calculator,30-day-sec-yield,False
General Budgeting & Everyday Math,Misc / Everyday,30/30/30 Rule Calculator,30-30-30-rule,False
General Budgeting & Everyday Math,Misc / Everyday,403B Payout Calculator,403b-payout,False
General Budgeting & Everyday Math,Misc / Everyday,50/25/25 Rule Calculator,50-25-25-rule,False
General Budgeting & Everyday Math,Misc / Everyday,6 Month Income Calculator,6-month-income,False
General Budgeting & Everyday Math,Misc / Everyday,60/20/20 Rule Calculator,60-20-20-rule,False
General Budgeting & Everyday Math,Misc / Everyday,60/40 Commission Calculator,60-40-commission,False
General Budgeting & Everyday Math,Misc / Everyday,60/40 Commission Split Calculator,60-40-commission-split,False
General Budgeting & Everyday Math,Misc / Everyday,70 Percent Rule Flipping Calculator,70-percent-rule-flipping,False
General Budgeting & Everyday Math,Misc / Everyday,70/30 Commission Split Calculator,70-30-commission-split,False
General Budgeting & Everyday Math,Misc / Everyday,75 Percent Off Calculator,75-percent-off,False
General Budgeting & Everyday Math,Misc / Everyday,ADR (Average Daily Rate) Calculator,adr-average-daily-rate,False
General Budgeting & Everyday Math,Misc / Everyday,AFN (Additional Funds Needed) Calculator,afn-additional-funds-needed,False
General Budgeting & Everyday Math,Misc / Everyday,ATC (Average Total Cost) Calculator,atc-average-total-cost,False
General Budgeting & Everyday Math,Misc / Everyday,ATR (Average True Range) Stop Loss Calculator,atr-average-true-range-stop-loss,False
General Budgeting & Everyday Math,Misc / Everyday,Abnormal Earnings Calculator,abnormal-earnings,False
General Budgeting & Everyday Math,Misc / Everyday,Absolute Return Calculator,absolute-return,False
General Budgeting & Everyday Math,Misc / Everyday,Accelerated Depreciation Calculator,accelerated-depreciation,False
General Budgeting & Everyday Math,Misc / Everyday,Accelerated Payment Calculator,accelerated-payment,False
General Budgeting & Everyday Math,Misc / Everyday,Accident Depreciation Calculator,accident-depreciation,False
General Budgeting & Everyday Math,Misc / Everyday,Accounting Profit Calculator,accounting-profit,False
General Budgeting & Everyday Math,Misc / Everyday,Accounting Rate of Return Calculator,accounting-rate-of-return,False
General Budgeting & Everyday Math,Misc / Everyday,Accrued Sick Leave Calculator,accrued-sick-leave,False
General Budgeting & Everyday Math,Misc / Everyday,Accumulator Return Calculator,accumulator-return,False
General Budgeting & Everyday Math,Misc / Everyday,Acquisition Cost Calculator,acquisition-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Acquisition Premium Calculator,acquisition-premium,False
General Budgeting & Everyday Math,Misc / Everyday,Activity-Based Costing Calculator,activity-based-costing,False
General Budgeting & Everyday Math,Misc / Everyday,Additional Premium Calculator,additional-premium,False
General Budgeting & Everyday Math,Misc / Everyday,Adherence Calculator,adherence,False
General Budgeting & Everyday Math,Misc / Everyday,Adjusted Gross Score Calculator,adjusted-gross-score,False
General Budgeting & Everyday Math,Misc / Everyday,Adjusted Lease Balance Calculator,adjusted-lease-balance,False
General Budgeting & Everyday Math,Misc / Everyday,Adjusted Trial Balance Calculator,adjusted-trial-balance,False
General Budgeting & Everyday Math,Misc / Everyday,Admin Fee Calculator,admin-fee,False
General Budgeting & Everyday Math,Misc / Everyday,Affiliate Commission Calculator,affiliate-commission,False
General Budgeting & Everyday Math,Misc / Everyday,Age Factor Calculator,age-factor,False
General Budgeting & Everyday Math,Misc / Everyday,Age Of Inventory Calculator,age-of-inventory,False
General Budgeting & Everyday Math,Misc / Everyday,Agency Profit Calculator,agency-profit,False
General Budgeting & Everyday Math,Misc / Everyday,Aggregate Income Calculator,aggregate-income,False
General Budgeting & Everyday Math,Misc / Everyday,Aging Schedule Calculator,aging-schedule,False
General Budgeting & Everyday Math,Misc / Everyday,Agreement Date Calculator,agreement-date,False
General Budgeting & Everyday Math,Misc / Everyday,Airline Cost Index Calculator,airline-cost-index,False
General Budgeting & Everyday Math,Misc / Everyday,Airline Yield Calculator,airline-yield,False
General Budgeting & Everyday Math,Misc / Everyday,Album Sales Calculator,album-sales,False
General Budgeting & Everyday Math,Misc / Everyday,Alimony Buyout Calculator,alimony-buyout,False
General Budgeting & Everyday Math,Misc / Everyday,All Bill Calculators,all-bill,False
General Budgeting & Everyday Math,Misc / Everyday,All Cost Calculators,all-cost,False
General Budgeting & Everyday Math,Misc / Everyday,All Finance Calculators,all-finance,False
General Budgeting & Everyday Math,Misc / Everyday,All Margin Calculators,all-margin,False
General Budgeting & Everyday Math,Misc / Everyday,All Price Calculators,all-price,False
General Budgeting & Everyday Math,Misc / Everyday,All Profit Calculators,all-profit,False
General Budgeting & Everyday Math,Misc / Everyday,All Revenue Calculators,all-revenue,False
General Budgeting & Everyday Math,Misc / Everyday,All Sales Calculators,all-sales,False
General Budgeting & Everyday Math,Misc / Everyday,Allocated Cost Calculator,allocated-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Allocation Percent Calculator,allocation-percent,False
General Budgeting & Everyday Math,Misc / Everyday,Amended Return Calculator,amended-return,False
General Budgeting & Everyday Math,Misc / Everyday,Amounts Generally Billed (AGB) Calculator,amounts-generally-billed-agb,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Change Calculator,annual-change,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Expense Calculator,annual-expense,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Fee Calculator,annual-fee,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Fuel Cost Calculator,annual-fuel-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Growth Rate To Monthly Calculator,annual-growth-rate-to-monthly,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Income Calculator,annual-income,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Income To Monthly Calculator,annual-income-to-monthly,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Incremental Earnings Calculator,annual-incremental-earnings,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Insurance Premium Calculator,annual-insurance-premium,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Leave Hours To Days Calculator,annual-leave-hours-to-days,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Loss Expectancy Calculator,annual-loss-expectancy,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Merit Increase Calculator,annual-merit-increase,False
General Budgeting & Everyday Math,Misc / Everyday,Annual Variable Pay Calculator,annual-variable-pay,False
General Budgeting & Everyday Math,Misc / Everyday,Annualized Cost Of Trade Credit Calculator,annualized-cost-of-trade-credit,False
General Budgeting & Everyday Math,Misc / Everyday,Annualized Endorsement Premium Calculator,annualized-endorsement-premium,False
General Budgeting & Everyday Math,Misc / Everyday,Annualized Turnover Calculator,annualized-turnover,False
